Name,Department,Specialization,Profile Link
Dr  SOBIN MATHEW,CHEMISTRY,electrochemistry,https://christuniversity.in/Chemistry/faculty-details/ODQwMg==/MTc=
Dr  SOMNATH SINHA,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/NjY0Nw==/NjI=
Dr  SREEJA C S,COMPUTER SCIENCE,Information Security using DNA Cryptography,https://christuniversity.in/Computer Science/faculty-details/MzIwNg==/NjI=
Dr  SREEJA P B,CHEMISTRY,Chemistry,https://christuniversity.in/Chemistry/faculty-details/NDU1/MTc=
Dr  SREEJA S KARTHA,PHYSICS AND ELECTRONICS,Astrophysics,https://christuniversity.in/Physics and Electronics/faculty-details/MjgxMA==/MTg=
Dr  SRIDEVI R,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/NjgyOA==/NjI=
Dr  STEPHEN R,COMPUTER SCIENCE (YESHWANTHPUR),Computer Science,https://christuniversity.in/Computer Science/faculty-details/Njg0Ng==/ODA0
Dr  SUBRAMANI R,MATHEMATICS (YESHWANTHPUR),Mathematics,https://christuniversity.in/Mathematics/faculty-details/NjA5Ng==/ODAy
Dr  SUDEV N K,MATHEMATICS,Mathematics,https://christuniversity.in/Mathematics/faculty-details/MjkzMQ==/MzI=
Dr  SUDHAKAR T,COMPUTER SCIENCE,Computer Science,https://christuniversity.in/Computer Science/faculty-details/NzA1MA==/NjI=
Dr  SUGANTHI J,COMPUTER SCIENCE (YESHWANTHPUR),Information and Communication Engineering,https://christuniversity.in/Computer Science/faculty-details/Njg2OQ==/ODA0
Dr  SUMA S,LIFE SCIENCES,Biotechnology,https://christuniversity.in/Life Sciences/faculty-details/MjY4/NjA=
Dr  SUNAJA DEVI K R,CHEMISTRY,Chemistry,https://christuniversity.in/Chemistry/faculty-details/MjY1/MTc=
Dr  SURABHI SAXENA,COMPUTER SCIENCE,SOFTWARE ENGINNERING AND FUZZY LOGIC,https://christuniversity.in/Computer Science/faculty-details/ODU1OA==/NjI=
Dr  SURESH K,COMPUTER SCIENCE,School of Computing Sciences,https://christuniversity.in/Computer Science/faculty-details/NjE4MA==/NjI=
